,player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
586,558,Vladimir Coufal,Coufal,19,west_ham,WHU,DEF,4.0,3.0,,,a,52,0.6,11.1,4.1,89,33,194,32,9,45,67,11,0,509483,129014,,,0,0,2,-2,0.0,3.0,47,26016,18886,0,3,4,17,0,0,0,8,252,,,,,,
587,576,Craig Dawson,Dawson,19,west_ham,WHU,DEF,6.0,2.0,,,a,12,0.4,2.7,0.0,385,426,383,150,170,148,414,155,0,3685,2029,,,0,0,0,0,0.0,2.0,45,1703,586,0,0,2,0,0,0,0,0,41,,,,,,
588,587,Saïd Benrahma,Benrahma,19,west_ham,WHU,MID,2.1,1.5,,,a,19,0.2,3.2,0.2,306,206,99,132,127,53,229,109,0,48182,37621,,,0,0,0,0,0.0,1.5,60,633,2310,0,2,1,5,0,0,0,0,49,,,3.0,,,
589,453,John Ruddy,Ruddy,20,wolves,WOL,GKP,0.0,0.0,,,a,0,0.0,0.0,0.2,497,478,459,55,30,26,502,55,0,4180,13634,,,-1,1,-2,2,0.0,0.0,43,170,421,0,0,0,0,0,0,0,0,0,,,,,,
590,454,João Filipe Iria Santos Moutinho,Moutinho,20,wolves,WOL,MID,1.6,1.2,,2020-12-12T15:00:18.629977Z,a,24,0.2,4.6,0.9,172,37,273,67,26,139,120,65,0,39278,197131,100.0,100.0,0,0,-3,3,1.2,1.2,52,599,1519,0,0,2,20,0,0,0,0,151,1.0,,2.0,,,
591,455,Rui Pedro dos Santos Patrício,Patrício,20,wolves,WOL,GKP,3.2,1.5,,,a,54,0.3,10.0,5.4,70,610,608,15,69,68,232,16,0,344754,425538,,,0,0,-1,1,1.5,1.5,54,5638,17793,0,0,4,24,1,0,35,3,265,,,,,,
592,456,Ryan Bennett,Bennett,20,wolves,WOL,DEF,0.0,0.0,Joined Swansea City on a permanent deal on 16/10,2020-10-16T21:30:12.191173Z,u,0,0.0,0.0,0.1,525,509,493,205,206,199,530,206,0,3892,27338,0.0,0.0,0,0,-1,1,0.0,0.0,44,9,166,0,0,0,0,0,0,0,0,0,,,,,,
593,458,Willy Boly,Boly,20,wolves,WOL,DEF,3.0,0.3,Hamstring injury - 75% chance of playing,2020-12-27T21:00:23.628421Z,d,36,0.1,6.7,1.5,143,322,277,57,111,88,252,81,0,138473,217750,75.0,50.0,0,0,-1,1,0.2,0.1,54,62,8814,0,0,4,16,0,0,0,2,199,,,,,,
594,459,Conor Coady,Coady,20,wolves,WOL,DEF,2.5,1.5,,2020-11-13T02:00:22.377295Z,a,40,0.3,8.2,5.8,67,305,327,24,97,115,203,60,0,372221,589507,100.0,100.0,0,0,-1,1,1.5,1.5,49,8664,19199,0,0,4,23,0,0,0,2,242,,,,,,
595,460,Raúl Jiménez,Jiménez,20,wolves,WOL,FWD,4.3,0.0,Head injury - Unknown return date,2020-11-29T21:30:19.440583Z,i,43,0.0,5.2,5.1,170,169,50,19,26,25,100,23,0,1157652,2178820,0.0,0.0,0,0,-3,3,0.0,0.0,82,120,8826,4,1,4,10,0,0,0,7,148,,,,,1.0,
