player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
427,Mark Noble,Noble,19,west_ham,WHU,MID,1.1,0.4,,2020-11-06T10:00:16.292237Z,a,10,0.1,2.2,0.4,402,298,383,174,165,180,391,174,0,12641,132895,100.0,100.0,0,0,-4,4,0.4,1.8,46,261,819,0,0,0,5,0,0,0,0,38,4.0,,,,1.0,
429,David Martin,Martin,19,west_ham,WHU,GKP,0.0,0.0,,,a,0,0.0,0.0,6.6,474,452,429,38,10,5,482,38,0,240689,292748,,,0,0,0,0,0.0,1.0,40,2637,11957,0,0,0,0,0,0,0,0,0,,,,,,
430,Darren Randolph,Randolph,19,west_ham,WHU,GKP,6.0,1.2,Knock - 75% chance of playing,2021-01-23T21:00:21.073598Z,d,6,0.3,1.4,0.3,414,521,508,29,45,41,442,29,0,21222,18654,75.0,,0,0,-1,1,0.9,3.4,44,245,3292,0,0,1,0,0,0,2,0,23,,,,,,
431,Lukasz Fabianski,Fabianski,19,west_ham,WHU,GKP,4.4,3.4,,2021-01-01T20:00:19.159859Z,a,79,0.7,15.5,4.1,31,617,614,12,66,64,200,12,1,465028,333783,100.0,75.0,0,0,1,-1,3.4,5.8,51,11262,13118,0,0,6,22,1,0,53,9,346,,,,,,
432,Angelo Ogbonna,Ogbonna,19,west_ham,WHU,DEF,3.8,4.2,,2020-11-07T22:30:22.745009Z,a,73,0.8,14.6,3.3,47,256,111,14,65,13,105,24,2,356073,146909,100.0,100.0,0,0,0,0,4.2,9.4,50,12749,20115,2,0,7,22,0,0,0,5,319,,,,,,
433,Roberto Jimenez Gago,Roberto,19,west_ham,WHU,GKP,0.0,0.0,Joined Real Valladolid on a permanent deal on 28/8,2020-08-28T09:00:07.307179Z,u,0,0.0,0.0,0.0,552,538,528,70,51,47,559,70,0,415,966,0.0,0.0,0,0,0,0,0.0,0.0,45,6,10,0,0,0,0,0,0,0,0,0,,,,,,
434,Jack Wilshere,Wilshere,19,west_ham,WHU,MID,0.0,0.0,"Left the club ""on a permanent basis"" on 5/10",2020-10-05T20:30:12.776224Z,u,0,0.0,0.0,0.0,613,604,599,242,242,242,616,242,0,1191,10114,0.0,0.0,0,0,-1,1,0.0,0.0,49,7,49,0,0,0,0,0,0,0,0,0,,,,,,
435,Aaron Cresswell,Cresswell,19,west_ham,WHU,DEF,4.6,6.2,,2020-11-06T10:00:16.308168Z,a,87,1.1,16.1,18.7,38,13,272,8,3,84,42,4,2,1912998,624999,100.0,100.0,0,0,4,-4,6.2,13.4,54,141363,36648,0,6,7,22,0,0,0,10,407,1.0,,1.0,,,
436,Andriy Yarmolenko,Yarmolenko,19,west_ham,WHU,MID,1.3,1.8,,2020-11-15T17:30:21.383249Z,a,14,0.3,2.5,0.1,349,211,172,152,130,92,285,133,0,4255,16524,100.0,100.0,0,0,-5,5,1.8,4.6,55,90,137,0,1,1,4,0,0,0,0,44,3.0,,,,,
437,Michail Antonio,Antonio,19,west_ham,WHU,FWD,4.4,4.0,,2020-12-04T14:00:25.318775Z,a,48,0.6,7.6,12.2,154,165,32,16,25,16,64,19,1,1049469,807176,100.0,100.0,0,0,-2,2,4.0,9.0,63,312902,25919,5,0,3,10,0,0,0,11,150,,,,,2.0,
